Food_Code,Food_Name,Description,Group,Protein,Fat,Carbohydrate,Energy,Total_sugars
15-663,"Aubergine, stuffed with vegetables, cheese topping","Tomato, mushroom and onion stuffing. Recipe from review of recipe collection. Whole dish consumed",DR,5,9.7,3.6,119,3.2
14-039,"Avocado, Fuerte, flesh only",10 samples and literature,FA,2.1,19.3,1.9,189,0.5
14-040,"Avocado, Fuerte, flesh only, weighed with skin and stone",Calculated from 14-039,FA,1.5,13.7,1.3,134,0.4
14-386,"Avocado, Hass, flesh only","11 samples, imported, Hass variety, ripe and ripen at home",FA,1.8,17.4,1.8,171,0.4
14-387,"Avocado, Hass, flesh only, weighed with skin and stone",Calculated from 14-386,FA,1.3,12,1.3,118,0.3
16-001,"Ayr, raw",Literature sources. Imported frozen from Bangladesh,JA,15.9,1.3,0,75,0
14-043,"Babaco, flesh only",Literature sources,FA,1.1,0.1,3.1,17,3.1
16-169,"Bacha, raw",Literature sources. Imported frozen from Bangladesh,JC,18.1,5.6,0,123,0
19-644,"Bacon loin steaks, lean, grilled","7 samples; smoked and unsmoked, loose and prepacked Danish bacon",MAA,28.9,4.3,1.1,158,1.1
19-645,"Bacon rashers, back, dry-cured, grilled","7 samples; smoked and unsmoked, loose and prepacked  British and Irish bacon",MAA,28.4,15.9,0,257,0
19-498,"Bacon rashers, back, dry-fried","10 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,24.2,22,0,295,0
19-499,"Bacon rashers, back, fat trimmed, grilled","15 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon, back fat removed",MAA,25.7,12.3,0,214,0
19-646,"Bacon rashers, back, fat trimmed, raw","24 samples, back fat removed. MLC data and calculation from 19-499",MAA,18.8,6.7,0,136,0
19-500,"Bacon rashers, back, grilled","15 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,23.2,21.6,0,287,0
19-501,"Bacon rashers, back, grilled crispy","10 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,36,18.8,0,313,0
19-502,"Bacon rashers, back, microwaved","15 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,24.2,23.3,0,307,0
19-497,"Bacon rashers, back, raw","10 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,16.5,16.5,0,215,0
19-009,"Bacon rashers, back, reduced salt, grilled","6 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,24.1,20.6,0,282,0
19-659,"Bacon rashers, back, smoked, grilled",9 samples; loose and prepacked British and Danish bacon,MAA,23.4,22.1,0,293,0
19-647,"Bacon rashers, back, sweetcure, grilled","9 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,23.8,17.4,1.6,258,1.6
19-660,"Bacon rashers, back, 'tendersweet', grilled","10 samples; smoked and unsmoked, loose and prepacked British bacon",MAA,26.4,11.9,Tr,213,Tr
19-648,"Bacon rashers, middle, fried in corn oil","9 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,23.4,28.5,0,350,0
19-503,"Bacon rashers, middle, grilled","9 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,24.8,23.1,0,307,0
19-649,"Bacon rashers, middle, raw","9 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,15.2,20,0,241,0
19-504,"Bacon rashers, streaky, fried in corn oil","10 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,23.8,26.6,0,335,0
19-018,"Bacon rashers, streaky, grilled","10 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,23.8,26.9,0,337,0
19-016,"Bacon rashers, streaky, raw","10 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,15.8,23.6,0,276,0
19-537,"Bacon, fat only, average, cooked",Fat from five different cuts,MAA,9.3,72.8,0,692,0
19-650,"Bacon, fat only, average, raw",Fat from five different cuts,MAA,4.8,80.9,0,747,0
11-970,"Bagels, plain",2 brands,AP,10,1.8,57.8,273,4.8
13-578,"Baked beans, canned in barbecue sauce","5 cans (Heinz), and manufacturer's data",DB,5.3,0.4,14,77,4.8
13-532,"Baked beans, canned in tomato sauce","16 samples, 9 brands",DB,5,0.5,15,81,4.8
13-535,"Baked beans, canned in tomato sauce, reduced sugar, reduced salt",Estimated from 13-532 and industry data,DB,5,0.5,13.5,75,3.3
13-579,"Baked beans, canned in tomato sauce, with pork sausages","LGC; 10 cans, 3 brands",DB,6,4.5,11,98,4
12-500,"Baking fat and margarine (75-90% fat), hard block","10 samples, 4 products, including Stork and own brands",BTM,Tr,76.4,0,688,0
17-355,Baking powder,6 samples of the same brand,WY,5.2,0,37.8,163,0
11-1029,"Banana bread, homemade",Recipe,AN,4.4,12.4,53.9,331,36.3
12-556,"Banana split, homemade",Recipe,BP,2.3,11.8,23.9,205,18.4
14-318,"Bananas, flesh only","11 samples, including Fairtrade and organic, pre-packed and loose",FA,1.2,0.1,20.3,81,18.1
14-347,"Bananas, raw, flesh only, weighed with skin",Calculated from 14-318 using edible factor of 0.87,FA,0.8,Tr,12.8,51,11.4
11-1030,"Bannocks, made with beremeal, homemade",Recipe,AF,9.3,1.7,56.8,266,3.1
11-951,"Bannocks, made with wheat flour, homemade",Recipe,AF,8.5,1.3,65.5,292,2.4
17-705,Barbecue sauce,Literature sources (1980),WCN,1,0.1,36.1,140,29.9
17-769,"Barbecue sauce, homemade",Recipe,WC,2.7,21,26.1,300,21.5
14-804,"Barcelona nuts, Kernel only",Kernel only,GA,10.9,64,5.2,639,3.4
14-805,"Barcelona nuts, kernel only, weighed with shells",Calculated from 14-804,GA,6.8,39.7,3.2,397,2.1
17-844,"Barley water, diluted",Calculated from 50g concentrate to 200ml water,PCC,0.1,Tr,4.7,18,4.3
17-743,"Barley water, undiluted",Orange and lemon flavours,PCC,0.3,Tr,23.7,90,21.5
11-003,"Barley, pearl, boiled","2 samples from different shops, boiled in water",AA,2.7,0.6,27.6,120,Tr
11-002,"Barley, pearl, raw",2 samples from different shops; literature sources,AA,7.9,1.7,83.6,360,Tr
13-805,"Basil, dried, ground",Literature sources,H,14.4,4,43.2,251,N
13-804,"Basil, fresh",6 samples and literature sources,H,3.1,0.8,5.1,40,N
16-386,"Bass, sea, flesh only, baked","10 samples, 10 products, frozen and chilled",JA,23.2,6.8,0,154,0
16-463,"Bass, sea, flesh only, baked, weighed with bones and skin",Calculated from baked 16-386 using edible conversion factor 0.89,JA,20.6,6.1,0,137,0
16-385,"Bass, sea, flesh only, raw","10 samples, 10 products, frozen and chilled",JA,20,9.8,0,168,0
16-464,"Bass, sea, flesh only, raw, weighed with bones and skin",Calculated from 16-385 using edible conversion factor of 0.86,JA,17.2,8.4,0,144,0
13-806,"Bay leaf, dried","Reviewed 2013. LGC, Fruit and Vegetables, 1989-1990; Polacchi et al. (1982) Food composition tables for the near east; and Leung et al. (1972) Food composition table for use in East Asia",H,7.6,8.4,48.6,313,N
15-664,"Bean loaf, mixed beans, homemade",Recipe from dietary survey records,DR,6.6,7.2,15.1,148,3.6
15-665,"Beanburger, aduki, fried in rapeseed oil, homemade",Recipe,DR,8.1,7.3,24.1,190,2.3
15-666,"Beanburger, butter bean, fried in rapeseed oil, homemade",Recipe,DR,5.7,10.6,20.2,194,3
15-667,"Beanburger, red kidney bean, fried in rapeseed oil",Recipe from Leeds Polytechnic,DR,6.2,10.7,21.7,202,2.6
15-668,"Beanburger, soya, fried in rapeseed oil",Recipe from review of recipe collection,DR,10.5,10.7,14.5,193,3.7
13-042,"Beans, aduki, whole, dried, boiled in unsalted water",Analysis and calculation from dried,DB,9.3,0.2,22.5,123,0.5
13-041,"Beans, aduki, whole, dried, raw","6 samples, whole beans",DB,19.9,0.5,50.1,272,1
13-049,"Beans, balor, ends trimmed, raw",5 samples,DB,2.7,0.1,3,23,2.4
13-063,"Beans, blackeye, whole, dried, boiled in unsalted water",Soaked and boiled,DB,8.8,0.7,19.9,116,1.1
13-062,"Beans, blackeye, whole, dried, raw",Analysis and literature sources,DB,23.5,1.6,54.1,311,2.9
13-067,"Beans, broad, dried, raw",Literature sources,DB,26.1,2.1,32.5,245,5.9
13-648,"Beans, broad, whole, boiled in unsalted water","11 samples, UK, fresh. Removed from pods and boiled for 3-10 minutes",DB,9,1,12.3,91,1.1
13-064,"Beans, broad, whole, raw",Without pods,DB,5.7,1,7.2,59,1.3
13-559,"Beans, butter, canned, re-heated, drained","10 cans, 5 brands, no added salt",DB,5.9,0.5,13,77,1.1
13-663,"Beans, butter, dried, boiled in unsalted water","7 samples, 6 products, soaked and boiled for 25-75 minutes",DB,8.1,1.1,16.8,105,1.4
13-070,"Beans, butter, dried, raw",Analysis and literature sources,DB,19.1,1.7,52.9,290,3.6
13-666,"Beans, cannellini, canned, re-heated, drained","10 samples, 7 products, canned in water, no added salt. Heated for 3-5 minutes before draining",DB,7.6,1.6,15.9,104,0.7
13-670,"Beans, chick peas, canned, re-heated, drained","Fibre only analysed. 10 samples, 7 products, whole peas, canned in water, no added salt. Heated for 3-5 minutes before draining",DB,8.4,3,18.3,129,0.7
13-077,"Beans, chick peas, Kabuli, split, dried, boiled in unsalted water",Soaked and boiled,DB,7.7,2,17.4,114,1
13-076,"Beans, chick peas, Kabuli, split, dried, raw",No seed coat. Literature sources,DB,22.7,5.4,49.6,325,2.6
13-662,"Beans, chick peas, Kabuli, whole, dried, boiled in unsalted water","10 samples, 10 products, soaked and boiled for 45-100 minutes",DB,8.4,3,18.3,129,0.7
13-074,"Beans, chick peas, Kabuli, whole, dried, raw",Analytical and literature sources.,DB,21.3,5.4,49.6,320,2.6
13-080,"Beans, cluster, raw",5 samples. Ends trimmed,DB,2.6,0.1,3,23,2.9
13-667,"Beans, edamame, frozen, boiled in unsalted water","7 samples, 5 products, including shelled and in pods. Boiled for 3-6 minutes, pods discarded ",DB,12.2,7.6,6.5,142,2.6
13-515,"Beans, green, boiled in unsalted water","As raw, boiled for 3-6 minutes, not runner bean",DB,2.1,0.3,4,26,3
13-514,"Beans, green, raw","22 samples, autumn and winter, UK grown and imported, pre-packed and loose, including dwarf, fine and extra fine, not runner bean",DB,2.1,0.4,3.1,24,2.2
13-665,"Beans, haricot, canned, re-heated, drained","6 samples, 4 products, canned in water, no added salt. Heated for 2-5 minutes before draining",DB,7.1,1,15.6,96,0.6
13-087,"Beans, haricot, whole, dried, boiled in unsalted water","Soaked 24 hours, boiled 2 hours",DB,6.6,0.5,17.2,95,0.8
13-086,"Beans, haricot, whole, dried, raw",Whole beans,DB,21.4,1.6,49.7,286,2.8
13-099,"Beans, mung, dahl, dried, boiled in unsalted water","Split beans, no seed coat, soaked and boiled. Literature sources",DB,7.8,0.4,15.3,92,0.5
13-098,"Beans, mung, dahl, dried, raw","Split beans, no seed coat. Literature sources",DB,26.8,1.1,46.3,291,1.5
13-664,"Beans, mung, whole, dried, boiled in unsalted water","6 samples, 6 products, soaked and boiled for 30-45 minutes",DB,8.6,0.7,15.8,100,0.4
13-096,"Beans, mung, whole, dried, raw",Literature sources,DB,23.9,1.1,46.3,279,1.5
13-100,"Beans, papri, raw",Ends trimmed; 5 samples,DB,5.4,0.3,4.2,40,1.8
13-105,"Beans, pigeon peas, dahl, dried, boiled in unsalted water","Soaked and boiled. Split peas, no seed coat. Literature sources",DB,8.7,0.5,21.2,118,0.6
13-104,"Beans, pigeon peas, dahl, dried, raw","Split peas, no seed coat. Literature sources",DB,21.8,1.9,58.6,324,1.7
13-103,"Beans, pigeon peas, whole, dried, boiled in unsalted water",Literature sources,DB,8.5,0.5,21.2,117,0.6
13-102,"Beans, pigeon peas, whole, dried, raw",Literature sources,DB,20,1.9,58.6,317,1.7
13-107,"Beans, pinto, dried, boiled in unsalted water",Whole beans. Literature sources,DB,8.9,0.7,23.9,137,N
13-106,"Beans, pinto, dried, raw",Whole beans. Literature sources,DB,21.1,1.6,57.1,327,N
13-108,"Beans, pinto, re-fried beans",Literature sources,DB,6.2,1.1,15.3,107,N
13-660,"Beans, red kidney, canned in water, re-heated, drained","Fibre only analysed. 10 samples, 9 products, heated for 3-5 minutes",DB,8.6,1,15.1,100,0.8
13-659,"Beans, red kidney, dried, boiled in unsalted water","10 samples, 9 products, soaked and boiled for 40-70 minutes",DB,8.6,1,15.1,100,0.8
13-109,"Beans, red kidney, dried, raw",Whole beans. Analytical and literature sources,DB,22.1,1.4,44.1,266,2.5
13-654,"Beans, runner, boiled in unsalted water","11 samples, mixture of UK and imported, fresh. Tops, tails and strings removed, boiled for 5-6 minutes",DB,1.1,0.5,1.9,16,1.6
13-112,"Beans, runner, raw",Ends and sides trimmed,DB,1.6,0.4,3.2,22,2.8
13-116,"Beans, soya, dried, boiled in unsalted water",Whole beans. Analysis and literature sources,DB,14,7.3,5.1,141,2.1
13-115,"Beans, soya, dried, raw",Whole beans. Analysis and literature sources,DB,35.9,18.6,15.8,370,5.5
13-117,"Beans, sword, raw",Literature sources,DB,2.5,0.3,7.2,41,N
13-580,"Beansprouts, mung, boiled in unsalted water",Boiled 4 minutes,DB,2.5,0.5,2.8,25,1.4
13-426,"Beansprouts, mung, raw",As purchased,DB,2.9,0.5,4,31,2.2
13-567,"Beansprouts, mung, stir-fried in rapeseed oil",6 samples; stir-fried 2 minutes.  And calculated from raw,DB,1.9,6.1,2.5,72,1.4
19-471,"Beef bourguignon, homemade",Recipe,MR,13.8,6.2,2.5,140,0.9
19-548,"Beef bourguignonne, made with lean beef, homemade",Recipe,MR,14.1,4.2,2.5,105,0.8
17-514,Beef extract,Mixed sample including Bovril and own brands,WY,40.4,0.6,3.2,179,0.4
19-588,"Beef olives, homemade",Rolled beef stuffed with bacon and onions. Recipe,MR,13.9,11,1.6,159,0.3
19-589,"Beef steak pudding, homemade",Recipe,MR,11.5,10.2,18.7,207,0.8
19-551,"Beef Stroganoff, homemade",Recipe,MR,15.3,11.2,2.5,171,2.1
19-552,"Beef Wellington, homemade",Recipe,MR,16.3,25.5,16.2,356,0.7
18-009,"Beef, braising steak, braised, lean and fat",Calculated from 90% lean and 9% fat,MAC,32.9,12.7,0,246,0
18-008,"Beef, braising steak, braised, lean only",10 samples,MAC,34.4,9.7,0,225,0
18-006,"Beef, braising steak, raw, lean",10 samples,MAC,21.8,5.7,0,139,0
18-007,"Beef, braising steak, raw, lean and fat",Calculated from 92% lean and 7% fat,MAC,20.7,8.6,0,160,0
18-010,"Beef, braising steak, slow cooked, lean",10 samples,MAC,31.4,7.9,0,197,0
18-011,"Beef, braising steak, slow cooked, lean and fat",Calculated from 88% lean and 10% fat,MAC,29,11.2,0,217,0
18-014,"Beef, brisket, boiled, lean",10 samples,MAC,31.4,11,0,225,0
18-015,"Beef, brisket, boiled, lean and fat",Calculated from 82% lean and 15% fat,MAC,27.8,17.4,0,268,0
18-012,"Beef, brisket, raw, lean",10 samples,MAC,21.1,6.1,0,139,0
18-013,"Beef, brisket, raw, lean and fat",Calculated from 79% lean and 19% fat,MAC,18.4,16,0,218,0
18-005,"Beef, fat, average, cooked",Average of 8 different cuts,MAC,15.5,52.3,0,533,0
18-003,"Beef, fat, average, raw","Average of 10 different cuts, trimmed of lean",MAC,18.9,53.6,0,558,0
18-004,"Beef, fat, average, raw, extra trimmed",Weighted average of 13 different cuts,MAC,6.8,72.2,0,677,0
18-018,"Beef, fillet steak, fried in corn oil, lean",16 samples,MAC,28.2,7.9,0,184,0
18-019,"Beef, fillet steak, fried in corn oil, lean and fat",Calculated from 96% lean and 4% fat,MAC,28,8.9,0,192,0
18-022,"Beef, fillet steak, from steakhouse, lean",7 samples,MAC,28.7,7,0,178,0
18-023,"Beef, fillet steak, from steakhouse, lean and fat","Calculated from 85% lean and 14% fat, including grilled and char-grilled",MAC,28.5,7.8,0,184,0
18-020,"Beef, fillet steak, grilled, lean",20 samples,MAC,29.1,8,0,188,0
18-021,"Beef, fillet steak, grilled, lean and fat",Calculated from 97% lean and 3% fat,MAC,28.7,9.5,0,200,0
18-016,"Beef, fillet steak, raw, lean",17 samples,MAC,21.2,6.1,0,140,0
18-017,"Beef, fillet steak, raw, lean and fat",Calculated from 94% lean and 6% fat,MAC,20.9,7.9,0,155,0
18-026,"Beef, flank, pot-roasted, lean",6 samples,MAC,31.8,14,0,253,0
18-027,"Beef, flank, pot-roasted, lean and fat",Calculated from 76% lean and 21% fat,MAC,27.1,22.3,0,309,0
18-024,"Beef, flank, raw, lean",6 samples,MAC,22.7,9.3,0,175,0
18-025,"Beef, flank, raw, lean and fat",Calculated from 76% lean and 23% fat,MAC,19.7,20.8,0,266,0
18-030,"Beef, fore-rib/rib-roast, microwaved, lean",10 samples,MAC,35,11.4,0,243,0
18-031,"Beef, fore-rib/rib-roast, microwaved, lean and fat",Calculated from 78% lean and 22% fat,MAC,30.4,20.5,0,306,0
18-032,"Beef, fore-rib/rib-roast, microwaved, lean and fat, weighed with bone",Calculated from 18-031,MAC,25.2,17,0,254,0
18-028,"Beef, fore-rib/rib-roast, raw, lean",10 samples,MAC,21.5,6.5,0,145,0
18-029,"Beef, fore-rib/rib-roast, raw, lean and fat",Calculated from 75% lean and 25% fat,MAC,18.8,19.8,0,253,0
18-033,"Beef, fore-rib/rib-roast, roasted, lean",10 samples,MAC,33.3,11.4,0,236,0
18-034,"Beef, fore-rib/rib-roast, roasted, lean and fat",Calculated from 78% lean and 22% fat,MAC,29.1,20.4,0,300,0
18-035,"Beef, fore-rib/rib-roast, roasted, lean and fat, weighed with bone",Calculated from 18-034,MAC,24.4,17.1,0,252,0
18-468,"Beef, lean, average, raw","Average of 10 different cuts, trimmed of fat",MAC,22.5,4.3,0,129,0
18-002,"Beef, lean, average, raw, extra trimmed",Weighted average of 13 different cuts,MAC,21.6,5.1,0,132,0
18-042,"Beef, mince patties, barbecued",10 samples,MAC,29.6,16.2,0,264,0
18-507,"Beef, mince, extra lean, stewed",17 samples. Covered with 1/2 pt water per lb meat and simmered for 1 hour,MAC,24.7,4.2,0,137,0
18-039,"Beef, mince, frozen, stewed",10 samples. Covered with 1/2 pt water per lb meat and simmered for 1 hour,MAC,19.3,14.1,0,204,0
18-037,"Beef, mince, microwaved",10 samples,MAC,26.4,17.5,0,263,0
18-469,"Beef, mince, raw",10 samples,MAC,19.7,16.2,0,225,0
18-508,"Beef, mince, raw, extra lean",10 samples,MAC,21.9,4.2,0,130,0
19-607,"Beef, mince, stewed","Includes beef, onions, flour, stock and seasoning. Recipe",MR,10.9,9.9,2.5,139,0.6
18-470,"Beef, mince, stewed",10 samples,MAC,21.8,13.5,0,209,0
19-606,"Beef, mince, with vegetables, stewed",Recipe,MR,9.2,7.2,5.7,122,2.3
19-664,"Beef, minced, stewed with onions, extra lean","Containing beef, onions, flour, stock and seasoning. Recipe",MR,12.1,3.6,2.5,113,0.6
18-045,"Beef, rump steak, barbecued, lean",10 samples,MAC,31.2,5.7,0,176,0
18-046,"Beef, rump steak, barbecued, lean and fat",Calculated from 91% lean and 8% fat,MAC,29.5,9.4,0,203,0
18-472,"Beef, rump steak, fried in corn oil, lean and fat",Calculated from 87% lean and 12% fat,MAC,28.4,12.7,0,228,0
18-473,"Beef, rump steak, fried in corn oil, lean only",10 samples,MAC,30.9,6.6,0,183,0
18-051,"Beef, rump steak, from steakhouse, lean and fat","Calculated from 85% lean and 14% fat, including grilled and char-grilled",MAC,27.5,11.4,0,213,0
18-050,"Beef, rump steak, from steakhouse, lean only",10 samples,MAC,29.8,4.7,0,162,0
18-474,"Beef, rump steak, grilled, lean only",10 samples,MAC,31,5.9,0,177,0
18-043,"Beef, rump steak, raw, lean",10 samples,MAC,22,4.1,0,125,0
18-471,"Beef, rump steak, raw, lean and fat",Calculated from 88% lean and 11% fat,MAC,20.7,10.1,0,174,0
18-052,"Beef, rump steak, strips, stir-fried in corn oil, lean",10 samples,MAC,32.3,8.8,0,208,0
18-053,"Beef, rump steak, strips, stir-fried in corn oil, lean and fat",Calculated from 86% lean and 13% fat,MAC,29.7,14.4,0,248,0
18-056,"Beef, silverside, pot-roasted, lean",10 samples,MAC,34,6.3,0,193,0
18-057,"Beef, silverside, pot-roasted, lean and fat",Calculated from 85% lean and 14% fat,MAC,31,13.7,0,247,0
18-054,"Beef, silverside, raw, lean",10 samples,MAC,23.8,4.3,0,134,0
18-055,"Beef, silverside, raw, lean and fat",Calculated from 80% lean and 18% fat,MAC,20.4,14.8,0,215,0
18-060,"Beef, silverside, salted, boiled, lean",Calculated from 88% lean and 11% fat. Not retail ready cooked,MAC,30.4,6.9,0,184,0
18-061,"Beef, silverside, salted, boiled, lean and fat",Calculated from 88% lean and 11% fat,MAC,27.9,12.5,0,224,0
18-058,"Beef, silverside, salted, raw, lean",Calculated from 80% lean and 19% fat,MAC,19.2,7,0,140,0
18-059,"Beef, silverside, salted, raw, lean and fat",Calculated from 80% lean and 19% fat,MAC,16.3,18,0,227,0
